name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
Robby Delaware,RobbyDelaware,Pacific Time (US & Canada),near Utah Ave & Lighthouse an,FALSE,en,"I support the free movement of people, ideas and capital.","I support the free movement of people, ideas and capital.",Wed Jan 07 04:38:02 +0000 2009,17,304,670,11484,13,1
#Ezekiel2517✨...,SCOTTGOHARD,,still ⬆️Block⤵️Corner⬇️street,FALSE,en,"CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks...","CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks...",Tue Dec 29 23:15:22 +0000 2009,2774,1053,1055,31858,35,1
B E C K S T E R✨,Beckster319,Mountain Time (US & Canada),"Chicago, IL",FALSE,en,Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable,Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable,Fri Feb 04 06:38:45 +0000 2011,7273,650,896,6742,30,1
Chris Osborne,skatewake1994,,,FALSE,en,,,Wed Feb 09 07:38:44 +0000 2011,227,44,154,843,1,1
Рамзан Кадыров,KadirovRussia,Moscow,,FALSE,ru,"Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом",Parody account. I am voicing what the politicians are not allowed to protocol,Thu Dec 29 11:31:09 +0000 2011,0,94773,7,10877,691,1
Маргарита Саваж,MargoSavazh,Volgograd,"Санкт-Петербург, Россия",FALSE,ru,Честь имею. Нагло врать не умею.,I have the honor. Brazenly I do not know how to lie.,Mon Jan 23 10:26:25 +0000 2012,1480,23305,8021,18401,231,1
Dark Nally,darknally,Jakarta,Amerika,FALSE,id,uptodate news!!!!,uptodate news!!!!,Thu Dec 27 13:06:58 +0000 2012,0,22,40,22603,16,1
Laila Heats,lagonehoe,Eastern Time (US & Canada),USA,FALSE,en,How can you judge me when you don’t know me?,How can you judge me when you don’t know me?,Wed Jun 12 13:07:49 +0000 2013,3504,3080,2369,2228,12,1
CC Jack,YouJustCtrlC,Eastern Time (US & Canada),USA,FALSE,en,ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter,ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter,Thu Jun 13 16:07:23 +0000 2013,2744,2760,2700,2100,10,1
Mr Moran,MrMoraan,Eastern Time (US & Canada),"Philadelphia, PA",FALSE,en,I'm getting too cool for this social media shiz. That cynical bastard you hate to love.,I'm getting too cool for this social media shiz. That cynical bastard you hate to love.,Fri Jun 14 21:58:48 +0000 2013,2981,879,758,2044,15,1
Jonathon Norwood,NoJonathonNo,Eastern Time (US & Canada),USA,FALSE,en,Strive not to be a success but rather to be of value #blm #BforLife,Strive not to be a success but rather to be of value #blm #BforLife,Sat Jun 15 08:47:02 +0000 2013,2170,789,440,2002,8,1
Harper H21,CharlesJHarper,Eastern Time (US & Canada),ATL,FALSE,en,if you don't like me-it's ok,if you don't like me-it's ok,Thu Jun 20 04:49:04 +0000 2013,1850,1956,1626,3300,21,1
Lara Pretty,PrettyLaraPlace,Eastern Time (US & Canada),USA,FALSE,en,Bitter Clinger #USAFVet #NRA #2A #bluestarmom #Crossfit #christian,Bitter Clinger #USAFVet #NRA #2A #bluestarmom #Crossfit #christian,Thu Jun 20 12:35:59 +0000 2013,3555,1795,1360,3342,24,1
Jasiah Jenkins,BigBoyJasiah,Eastern Time (US & Canada),"Chicago, IL",FALSE,en,Visionary..... don't put me in a box.... Enigma... Unconditional Love. I'm the good guy. if u heard otherwise you been lied to,Visionary..... don't put me in a box.... Enigma... Unconditional Love. I'm the good guy. if u heard otherwise you been lied to,Wed Jul 10 23:55:16 +0000 2013,2342,728,393,1918,19,1
Jeremy Roberts,Jery_RobertsYo,Eastern Time (US & Canada),USA,FALSE,en,I think we can all agree that the 3 most powerful words of 2015 were “#BlackLivesMatter”,I think we can all agree that the 3 most powerful words of 2015 were “#BlackLivesMatter”,Mon Jul 15 03:34:50 +0000 2013,1836,837,898,1573,5,1
Reuben Littlejohn,LILJordamn,Eastern Time (US & Canada),USA,FALSE,en,young nigga just trying to make# also do music#,young nigga just trying to make# also do music#,Mon Jul 22 05:34:20 +0000 2013,2251,738,608,1899,16,1
Pauline Gunn,PaulineTT,Eastern Time (US & Canada),USA,FALSE,en,"I be trying to chill, I swear do, because I luh God. You'on luh God?
#NoChill #BlackLivesMatter","I be trying to chill, I swear do, because I luh God. You'on luh God?
#NoChill #BlackLivesMatter",Wed Jul 24 14:50:02 +0000 2013,1983,908,1075,1906,5,1
Ramona Mcintosh,RamonasNails,Eastern Time (US & Canada),USA,FALSE,en,"Mom, Global Nail Artist, Consultant, blah,blah, I do more than paint a nail","Mom, Global Nail Artist, Consultant, blah,blah, I do more than paint a nail",Thu Jul 25 14:06:28 +0000 2013,1992,877,1138,1745,6,1
Jeffrey Kahunas,JeffreyKahunas,Pacific Time (US & Canada),,FALSE,en,"Honor God & Jesus & Your Parents Country, GOP, I Follow Back #tcot #RedNationRising #InGodWeTrust","Honor God & Jesus & Your Parents Country, GOP, I Follow Back #tcot #RedNationRising #InGodWeTrust",Fri Jul 26 15:01:14 +0000 2013,1090,1565,1586,2320,18,1
Jason Scott,JassScott,Eastern Time (US & Canada),"Chicago, IL",FALSE,en,"Bring the drama, playa. Give me all you got. Make your move. Shoot your best shot
#BLM Bitch","Bring the drama, playa. Give me all you got. Make your move. Shoot your best shot
#BLM Bitch",Sun Jul 28 04:54:51 +0000 2013,2004,674,321,1818,13,1
Sherman Cannon,CannonSher,Eastern Time (US & Canada),United States,FALSE,en,Education costs money.  But then so does ignorance.,Education costs money.  But then so does ignorance.,Sun Jul 28 11:51:53 +0000 2013,10128,2854,2487,10203,30,1
Lovely Cass,cassishere,Eastern Time (US & Canada),"New York, USA",FALSE,en,Fun-loving conservative sharing the truth that liberals can't handle. #TCOT,Fun-loving conservative sharing the truth that liberals can't handle. #TCOT,Mon Jul 29 07:59:27 +0000 2013,4154,2121,2220,3831,36,1
Carrie,CarrieThornthon,Eastern Time (US & Canada),Alaska,FALSE,en,Conservative Christian Momma. Political junkie. Happily married,Conservative Christian Momma. Political junkie. Happily married,Mon Aug 05 05:56:27 +0000 2013,3930,2291,2272,3222,23,1
Anthony Nelson,ImaPharrelFake,Eastern Time (US & Canada),United States,FALSE,en,"Here to state my point of view, make you laugh and most importanly to stand up for and represent my people #BlackLivesMatter","Here to state my point of view, make you laugh and most importanly to stand up for and represent my people #BlackLivesMatter",Mon Aug 05 14:58:13 +0000 2013,2764,853,1164,1771,16,1
Wesley Holmes,WesternWindWes,Pacific Time (US & Canada),,FALSE,en,"Stand with God, Family, Constitution & 2A. On A Mission 2Save America. LIBS R BLOCKED
#WakeUpAmerica #tcot #GodBlessAmerica","Stand with God, Family, Constitution & 2A. On A Mission 2Save America. LIBS R BLOCKED
#WakeUpAmerica #tcot #GodBlessAmerica",Tue Aug 06 01:49:24 +0000 2013,592,1519,1351,1232,29,1
Khloe Irving,HiImKhloe,Eastern Time (US & Canada),USA,FALSE,en,Running back and forth forever between grief and high delight | problack | proguns | Always on point,Running back and forth forever between grief and high delight | problack | proguns | Always on point,Tue Aug 06 05:08:41 +0000 2013,2026,909,859,1935,13,1
Nick Luna,_NickLuna_,Pacific Time (US & Canada),United States,FALSE,en,"Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET","Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET",Tue Aug 06 10:16:28 +0000 2013,2001,1457,1262,2100,21,1
Messiah Haynes,IlikeBIGbuttand,Eastern Time (US & Canada),United States,FALSE,en,The only true wisdom is in knowing you know nothing!,The only true wisdom is in knowing you know nothing!,Tue Aug 06 16:32:34 +0000 2013,3939,2804,2421,5554,27,1
Thomas Lopez,staywoke88,Eastern Time (US & Canada),USA,FALSE,en,Problem solver...,Problem solver...,Wed Aug 07 01:19:25 +0000 2013,1117,456,551,1637,11,1
Cynthia Mary Hunter,CynthiaMHunter,Eastern Time (US & Canada),United States,FALSE,en,Christian Conservative #ProConstitution #2A #ProLife #ProIsrael #CruzCrew #SOV #SOT #LoveFreedom #StandUnited,Christian Conservative #ProConstitution #2A #ProLife #ProIsrael #CruzCrew #SOV #SOT #LoveFreedom #StandUnited,Wed Aug 07 01:19:57 +0000 2013,4532,429,451,2759,23,1
Bossy Bo$$,acejinev,Eastern Time (US & Canada),NY,FALSE,en,"Very outspoken, but don't take it for anger. xoxo. Loving and welcoming to everyone!  #BlackLivesMatter #BlackToLive","Very outspoken, but don't take it for anger. xoxo. Loving and welcoming to everyone!  #BlackLivesMatter #BlackToLive",Wed Aug 07 05:22:21 +0000 2013,1836,900,806,1725,11,1
Anton Haynes,AntonHayHay,Eastern Time (US & Canada),USA,FALSE,en,white people are the most blood thirsty savages the world has ever seen #BLM #ICantBreath,white people are the most blood thirsty savages the world has ever seen #BLM #ICantBreath,Wed Aug 07 06:52:35 +0000 2013,1849,671,310,1936,14,1
Alec Moody,AlecMooooody,Eastern Time (US & Canada),USA,FALSE,en,"Love and respect all colors of skin. Teach respect, responsibility, and strength! #BlackLivesMatter  #StayWoke","Love and respect all colors of skin. Teach respect, responsibility, and strength! #BlackLivesMatter  #StayWoke",Wed Aug 07 13:58:59 +0000 2013,3738,905,530,3420,23,1
Jayda Stone,JaydaAstonishin,Eastern Time (US & Canada),Florida,FALSE,en,Aquarius. Queen Bey Stan. Happily Taken. carefree black gyal ✨,Aquarius. Queen Bey Stan. Happily Taken. carefree black gyal ✨,Wed Aug 07 17:59:05 +0000 2013,2191,916,1196,1978,9,1
̧M̧ȩļa̧ņi̧ņ,melanymelanin,Eastern Time (US & Canada),"St Louis, MO",FALSE,en,,,Thu Aug 08 11:23:24 +0000 2013,2717,963,915,2121,10,1
Nancy CAMPBELL,IMissObama,Eastern Time (US & Canada),,FALSE,en,I already miss Barack Obama in 2k16 smth...,I already miss Barack Obama in 2k16 smth...,Thu Aug 08 19:11:36 +0000 2013,2088,784,478,2124,14,1
Jeanne Mccarthy,JeanneMccarthy0,Eastern Time (US & Canada),USA,FALSE,en,"Conservative domestic goddess devoted to God, Family, Country, praying daily for #America! #tcot #ccot #RepealObamacare.","Conservative domestic goddess devoted to God, Family, Country, praying daily for #America! #tcot #ccot #RepealObamacare.",Fri Aug 09 02:18:37 +0000 2013,1863,3242,3420,1999,35,1
Jadon Dailey,DaileyJadon,Eastern Time (US & Canada),US,FALSE,en,"You only live once, but if you do it right, once is enough","You only live once, but if you do it right, once is enough",Fri Aug 09 12:38:08 +0000 2013,1298,1753,1485,2299,13,1
Adrienne,Adrienne_GG,Eastern Time (US & Canada),USA,FALSE,en,lucky I am)),lucky I am)),Fri Aug 09 13:55:17 +0000 2013,1010,1822,1548,2083,15,1
Laura Baeley,LauraBaeley,Eastern Time (US & Canada),United States,FALSE,en,Liberty's Torch Bearer and best friend. OPINIONS ARE MY OWN. Getting more conservative by the day because of bearing a torch for liberty!!,Liberty's Torch Bearer and best friend. OPINIONS ARE MY OWN. Getting more conservative by the day because of bearing a torch for liberty!!,Fri Aug 09 17:24:31 +0000 2013,1933,1073,1160,1946,14,1
Bao Ham,BaoBaeHam,Eastern Time (US & Canada),USA,FALSE,en,"When I let go of what I am, I become what I might be.","When I let go of what I am, I become what I might be.",Fri Aug 09 19:23:10 +0000 2013,2420,1032,836,2004,12,1
Travi$ Lane,TravisRespek,Eastern Time (US & Canada),USA,FALSE,en,"As long as we try, maybe things will change' -pac #BlackLivesMatter #PrayForTheWorld","As long as we try, maybe things will change' -pac #BlackLivesMatter #PrayForTheWorld",Fri Aug 09 19:14:25 +0000 2013,2384,826,931,1875,12,1
,USA_Gunslinger,,,,,,,,,,,,,1
,BlackToLive,,,,,,,,,,,,,1
,Crystal1Johnson,,,,,,,,,,,,,1
,TEN_GOP,,,,,,,,,,,,,1
Jared Mallory,MalloryJared,Eastern Time (US & Canada),NY,FALSE,en,I`m studing to earn much money in the future and i`m working to earn money for studing...,I`m studing to earn much money in the future and i`m working to earn money for studing...,Sat Aug 10 08:10:31 +0000 2013,2145,824,874,1811,17,1
Sarah Richards,iLoveSarahRich,Eastern Time (US & Canada),USA,FALSE,en,"Just trying to love the life I'm living & the people in it
Btw #InWoke #BLM #BlackToLive","Just trying to love the life I'm living & the people in it
Btw #InWoke #BLM #BlackToLive",Sat Aug 10 15:28:00 +0000 2013,2021,865,974,1747,6,1
