id,id_str,screen_name,location,description,description_en,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,name,bot
8.16e+17,"""815745789754417152""","""HoustonPokeMap""","""Houston, TX""","""Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt""","""Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt""","""https://t.co/dnWuDbFRkt""",1291,0,10,"""Mon Jan 02 02:25:26 +0000 2017""",0,FALSE,78554,"""en""",TRUE,FALSE,FALSE,"""Houston PokŽ Alert""",1
4843621225,4843621225,kernyeahx,"Templeville town, MD, USA","From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.","From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",,1,349,0,2/1/2016 7:37,38,FALSE,31,en,TRUE,FALSE,FALSE,Keri Nelson,1
4303727112,4303727112,mattlieberisbot,,"Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur","Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur",https://t.co/P1e1o0m4KC,1086,0,14,Fri Nov 20 18:53:22 +0000 2015,0,FALSE,713,en,TRUE,FALSE,FALSE,Matt Lieber Is Bot,1
3063139353,3063139353,sc_papers,,,,,33,0,8,2/25/2015 20:11,0,FALSE,676,en,TRUE,TRUE,FALSE,single cell papers,1
2955142070,2955142070,lucarivera16,"Dublin, United States",Inspiring cooks everywhere since 1956.,Inspiring cooks everywhere since 1956.,,11,745,0,1/1/2015 17:44,146,FALSE,185,en,FALSE,FALSE,FALSE,lucarivera16,1
8.41e+17,8.41E+17,dantheimprover,"Austin, TX","Just a guy trying to do good by telling everyone else to get better,","Just a guy trying to do good by telling everyone else to get better,",,1,186,0,13/03/2017 22:53,0,FALSE,11,en,TRUE,FALSE,TRUE,dantheimprover,1
2482834658,2482834658,_all_of_us_,in a machine.,bot by @rubicon,bot by @rubicon,,193,0,19,Wed May 07 22:29:25 +0000 2014,0,FALSE,6068,en,FALSE,FALSE,FALSE,everything always,1
3333573622,3333573622,KatamariItems,,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,,8227,2,89,Thu Jun 18 22:07:31 +0000 2015,26,FALSE,2597,en,TRUE,FALSE,FALSE,Katamari Collection,1
2996105102,2996105102,AutophagyPapers,,Twitterbot for #Autophagy papers. Curated by @SoniaHall,Twitterbot for #Autophagy papers. Curated by @SoniaHall,,275,0,17,1/25/2015 17:34,23,FALSE,9922,en,FALSE,FALSE,FALSE,Autophagy Papers,1
3271095818,3271095818,HSC_papers,,,,,51,3,9,7/7/2015 15:23,0,FALSE,2515,en,TRUE,FALSE,FALSE,Hematopoiesis,1
2717905134,2717905134,everycheese,cheese land,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider","cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",https://t.co/0cV8vQsQSV,51,1,12,Fri Aug 08 20:23:08 +0000 2014,0,FALSE,111,en,FALSE,FALSE,FALSE,all of the cheese,1
2826073429,2826073429,gyr_papers,,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.","Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",,2,1,4,9/22/2014 9:46,0,FALSE,230,en,TRUE,TRUE,FALSE,gyrpapers,1
8.1e+17,8.10E+17,lavon_court,,,,None,0,29,0,Sun Mar 12 01:07:25 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,Lavon Court,1
1027583707,1027583707,AjstyleAlen,,,,None,1,206,0,Sat Dec 22 02:18:49 +0000 2012,0,FALSE,0,en,TRUE,TRUE,,Alen Alex,1
394991274,394991274,Rupesh93505,,,,None,0,38,0,Sun Mar 12 01:06:00 +0000 2017,0,FALSE,0,en,TRUE,TRUE,,Rajesh prajapati,1
3032363298,3032363298,hard_to_yelp,,,,,109,0,16,Fri Feb 20 08:23:00 +0000 2015,0,FALSE,16067,en,TRUE,FALSE,FALSE,how hard is it to,1
